sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of Twenty Years at Hull House; with Autobiographical Notes This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,-0.1531,0.061,0.095,0.844,negative,Twenty Years at Hull House; with Autobiographical Notes
"Only as we neared the church door did I venture to ask what could be done about it, receiving the reply that it might never be righted so far as clothes went, but that people might be equal in things that mattered much more than clothes, the affairs of education and religion, for instance, which we attended to when we went to school and church, and that it was very stupid to wear the sort of clothes that made it harder to have equality even there.",-0.7218,0.0,0.057,0.943,negative,Twenty Years at Hull House; with Autobiographical Notes
"It must have been a little later when I held a conversation with my father upon the doctrine of foreordination, which at one time very much perplexed my childish mind.",-0.5829,0.0,0.16,0.84,negative,Twenty Years at Hull House; with Autobiographical Notes
"After setting the difficulty before him and complaining that I could not make it out, although my best friend ""understood it perfectly,"" I settled down to hear his argument, having no doubt that he could make it quite clear.",0.2247,0.203,0.225,0.572,positive,Twenty Years at Hull House; with Autobiographical Notes
"To my delighted surprise, for any intimation that our minds were on an equality lifted me high indeed, he said that he feared that he and I did not have the kind of mind that would ever understand fore-ordination very well and advised me not to give too much time to it; but he then proceeded to say other things of which the final impression left upon my mind was, that it did not matter much whether one understood foreordination or not, but that it was very important not to pretend to understand what you didn't understand and that you must always be honest with yourself inside, whatever happened.",0.9015,0.137,0.027,0.836,positive,Twenty Years at Hull House; with Autobiographical Notes
Perhaps on the whole as valuable a lesson as the shorter catechism itself contains.,0.4767,0.205,0.0,0.795,positive,Twenty Years at Hull House; with Autobiographical Notes
"My memory merges this early conversation on religious doctrine into one which took place years later when I put before my father the situation in which I found myself at boarding school when under great evangelical pressure, and once again I heard his testimony in favor of ""mental integrity above everything else.""",0.802,0.166,0.039,0.795,positive,Twenty Years at Hull House; with Autobiographical Notes
"At the time we were driving through a piece of timber in which the wood choppers had been at work during the winter, and so earnestly were we talking that he suddenly drew up the horses to find that he did not know where he was.",0.0,0.0,0.0,1.0,neutral,Twenty Years at Hull House; with Autobiographical Notes
"We were both entertained by the incident, I that my father had been ""lost in his own timber"" so that various cords of wood must have escaped his practiced eye, and he on his side that he should have become so absorbed in this maze of youthful speculation.",0.4019,0.097,0.045,0.858,positive,Twenty Years at Hull House; with Autobiographical Notes
"We were in high spirits as we emerged from the tender green of the spring woods into the clear light of day, and as we came back into the main road I categorically asked him:- ""What are you?",0.3818,0.067,0.0,0.933,positive,Twenty Years at Hull House; with Autobiographical Notes
"What do you say when people ask you?""",0.0,0.0,0.0,1.0,neutral,Twenty Years at Hull House; with Autobiographical Notes
"His eyes twinkled a little as he soberly replied: ""I am a Quaker.""",0.0,0.0,0.0,1.0,neutral,Twenty Years at Hull House; with Autobiographical Notes
"""But that isn't enough to say,"" I urged.",0.0,0.0,0.0,1.0,neutral,Twenty Years at Hull House; with Autobiographical Notes
"""Very well,"" he added, ""to people who insist upon details, as some one is doing now, I add that I am a Hicksite Quaker""; and not another word on the weighty subject could I induce him to utter.",0.0,0.0,0.0,1.0,neutral,Twenty Years at Hull House; with Autobiographical Notes
"These early recollections are set in a scene of rural beauty, unusual at least for Illinois.",0.5859,0.213,0.0,0.787,positive,Twenty Years at Hull House; with Autobiographical Notes
"The prairie around the village was broken into hills, one of them crowned by pine woods, grown up from a bag full of Norway pine seeds sown by my father in 1844, the very year he came to Illinois, a testimony perhaps that the most vigorous pioneers gave at least an occasional thought to beauty.",0.1779,0.066,0.054,0.881,positive,Twenty Years at Hull House; with Autobiographical Notes
"The banks of the mill stream rose into high bluffs too perpendicular to be climbed without skill, and containing caves of which one at least was so black that it could not be explored without the aid of a candle; and there was a deserted limekiln which became associated in my mind with the unpardonable sin of Hawthorne's ""Lime-Burner.""",-0.5574,0.0,0.06,0.94,negative,Twenty Years at Hull House; with Autobiographical Notes
"My stepbrother and I carried on games and crusades which lasted week after week, and even summer after summer, as only free-ranging country children can do.",0.0,0.0,0.0,1.0,neutral,Twenty Years at Hull House; with Autobiographical Notes
"It may be in contrast to this that one of the most piteous aspects in the life of city children, as I have seen it in the neighborhood of Hull-House, is the constant interruption to their play which is inevitable on the streets, so that it can never have any continuity--the most elaborate ""plan or chart"" or ""fragment from their dream of human life"" is sure to be rudely destroyed by the passing traffic.",-0.6901,0.08,0.135,0.785,negative,Twenty Years at Hull House; with Autobiographical Notes
"Although they start over and over again, even the most vivacious become worn out at last and take to that passive ""standing 'round"" varied by rude horseplay, which in time becomes so characteristic of city children.",-0.1458,0.116,0.129,0.755,negative,Twenty Years at Hull House; with Autobiographical Notes
We had of course our favorite places and trees and birds and flowers.,0.4588,0.2,0.0,0.8,positive,Twenty Years at Hull House; with Autobiographical Notes
"It is hard to reproduce the companionship which children establish with nature, but certainly it is much too unconscious and intimate to come under the head of aesthetic appreciation or anything of the sort.",0.81,0.19,0.03,0.78,positive,Twenty Years at Hull House; with Autobiographical Notes
"When we said that the purple wind-flowers--the anemone patens--""looked as if the winds had made them,"" we thought much more of the fact that they were wind-born than that they were beautiful: we clapped our hands in sudden joy over the soft radiance of the rainbow, but its enchantment lay in our half belief that a pot of gold was to be found at its farther end; we yielded to a soft melancholy when we heard the whippoorwill in the early twilight, but while he aroused in us vague longings of which we spoke solemnly, we felt no beauty in his call.",0.743,0.135,0.072,0.793,positive,Twenty Years at Hull House; with Autobiographical Notes
"We erected an altar beside the stream, to which for several years we brought all the snakes we killed during our excursions, no matter how long the toil--some journey which we had to make with a limp snake dangling between two sticks.",-0.765,0.024,0.146,0.83,negative,Twenty Years at Hull House; with Autobiographical Notes
"I remember rather vaguely the ceremonial performed upon this altar one autumn day, when we brought as further tribute one out of every hundred of the black walnuts which we had gathered, and then poured over the whole a pitcher full of cider, fresh from the cider mill on the barn floor.",0.3182,0.045,0.0,0.955,positive,Twenty Years at Hull House; with Autobiographical Notes
I think we had also burned a favorite book or two upon this pyre of stones.,0.4588,0.188,0.0,0.812,positive,Twenty Years at Hull House; with Autobiographical Notes
The entire affair carried on with such solemnity was probably the result of one of those imperative impulses under whose compulsion children seek a ceremonial which shall express their sense of identification with man's primitive life and their familiar kinship with the remotest past.,-0.2732,0.0,0.048,0.952,negative,Twenty Years at Hull House; with Autobiographical Notes
"Long before we had begun the study of Latin at the village school, my brother and I had learned the Lord's Prayer in Latin out of an old copy of the Vulgate, and gravely repeated it every night in an execrable pronunciation because it seemed to us more religious than ""plain English.""",-0.3612,0.0,0.048,0.952,negative,Twenty Years at Hull House; with Autobiographical Notes
"When, however, I really prayed, what I saw before my eyes was a most outrageous picture which adorned a song-book used in Sunday School, portraying the Lord upon his throne, surrounded by tiers and tiers of saints and angels all in a blur of yellow.",-0.3597,0.042,0.076,0.882,negative,Twenty Years at Hull House; with Autobiographical Notes
"I am ashamed to tell how old I was when that picture ceased to appear before my eyes, especially when moments of terror compelled me to ask protection from the heavenly powers.",-0.3182,0.138,0.172,0.69,negative,Twenty Years at Hull House; with Autobiographical Notes
I recall with great distinctness my first direct contact with death when I was fifteen years old: Polly was an old nurse who had taken care of my mother and had followed her to frontier Illinois to help rear a second generation of children.,0.7269,0.196,0.077,0.727,positive,Twenty Years at Hull House; with Autobiographical Notes
"She had always lived in our house, but made annual visits to her cousins on a farm a few miles north of the village.",0.0,0.0,0.0,1.0,neutral,Twenty Years at Hull House; with Autobiographical Notes
"During one of those visits, word came to us one Sunday evening that Polly was dying, and for a number of reasons I was the only person able to go to her.",0.0772,0.043,0.0,0.957,positive,Twenty Years at Hull House; with Autobiographical Notes
"I left the lamp-lit, warm house to be driven four miles through a blinding storm which every minute added more snow to the already high drifts, with a sense of starting upon a fateful errand.",0.2263,0.06,0.0,0.94,positive,Twenty Years at Hull House; with Autobiographical Notes
"An hour after my arrival all of the cousin's family went downstairs to supper, and I was left alone to watch with Polly.",-0.25,0.0,0.087,0.913,negative,Twenty Years at Hull House; with Autobiographical Notes
"The square, old-fashioned chamber in the lonely farmhouse was very cold and still, with nothing to be heard but the storm outside.",-0.1901,0.0,0.077,0.923,negative,Twenty Years at Hull House; with Autobiographical Notes
Suddenly the great change came.,0.6249,0.506,0.0,0.494,positive,Twenty Years at Hull House; with Autobiographical Notes
"I heard a feeble call of ""Sarah,"" my mother's name, as the dying eyes were turned upon me, followed by a curious breathing and in place of the face familiar from my earliest childhood and associated with homely household cares, there lay upon the pillow strange, august features, stern and withdrawn from all the small affairs of life.",0.3182,0.088,0.066,0.846,positive,Twenty Years at Hull House; with Autobiographical Notes
"That sense of solitude, of being unsheltered in a wide world of relentless and elemental forces which is at the basis of childhood's timidity and which is far from outgrown at fifteen, seized me irresistibly before I could reach the narrow stairs and summon the family from below.",-0.25,0.048,0.048,0.903,negative,Twenty Years at Hull House; with Autobiographical Notes
"As I was driven home in the winter storm, the wind through the trees seemed laden with a passing soul and the riddle of life and death pressed hard; once to be young, to grow old and to die, everything came to that, and then a mysterious journey out into the Unknown.",-0.8481,0.0,0.167,0.833,negative,Twenty Years at Hull House; with Autobiographical Notes
Did she mind faring forth alone?,-0.25,0.0,0.286,0.714,negative,Twenty Years at Hull House; with Autobiographical Notes
Would the journey perhaps end in something as familiar and natural to the aged and dying as life is to the young and living?,0.3612,0.098,0.0,0.902,positive,Twenty Years at Hull House; with Autobiographical Notes
"Through all the drive and indeed throughout the night these thoughts were pierced by sharp worry, a sense of faithlessness because I had forgotten the text Polly had confided to me long before as the one from which she wished her funeral sermon to be preached.",-0.8442,0.0,0.202,0.798,negative,Twenty Years at Hull House; with Autobiographical Notes
"My comfort as usual finally came from my father, who pointed out what was essential and what was of little avail even in such a moment as this, and while he was much too wise to grow dogmatic upon the great theme of death, I felt a new fellowship with him because we had discussed it together.",0.7003,0.153,0.061,0.786,positive,Twenty Years at Hull House; with Autobiographical Notes
"Perhaps I may record here my protest against the efforts, so often made, to shield children and young people from all that has to do with death and sorrow, to give them a good time at all hazards on the assumption that the ills of life will come soon enough.",-0.7506,0.052,0.165,0.783,negative,Twenty Years at Hull House; with Autobiographical Notes
Young people themselves often resent this attitude on the part of their elders; they feel set aside and belittled as if they were denied the common human experiences.,-0.765,0.0,0.233,0.767,negative,Twenty Years at Hull House; with Autobiographical Notes
"They too wish to climb steep stairs and to eat their bread with tears, and they imagine that the problems of existence which so press upon them in pensive moments would be less insoluble in the light of these great happenings.",0.5423,0.166,0.094,0.739,positive,Twenty Years at Hull House; with Autobiographical Notes
"An incident which stands out clearly in my mind as an exciting suggestion of the great world of moral enterprise and serious undertakings must have occurred earlier than this, for in 1872, when I was not yet twelve years old, I came into my father's room one morning to find him sitting beside the fire with a newspaper in his hand, looking very solemn; and upon my eager inquiry what had happened, he told me that Joseph Mazzini was dead.",0.7968,0.168,0.103,0.729,positive,Twenty Years at Hull House; with Autobiographical Notes
"I had never even heard Mazzini's name, and after being told about him I was inclined to grow argumentative, asserting that my father did not know him, that he was not an American, and that I could not understand why we should be expected to feel badly about him.",-0.6808,0.0,0.113,0.887,negative,Twenty Years at Hull House; with Autobiographical Notes
"It is impossible to recall the conversation with the complete breakdown of my cheap arguments, but in the end I obtained that which I have ever regarded as a valuable possession, a sense of the genuine relationship which may exist between men who share large hopes and like desires, even though they differ in nationality, language, and creed; that those things count for absolutely nothing between groups of men who are trying to abolish slavery in America or to throw off Hapsburg oppression in Italy.",0.6542,0.143,0.088,0.77,positive,Twenty Years at Hull House; with Autobiographical Notes
"At any rate, I was heartily ashamed of my meager notion of patriotism, and I came out of the room exhilarated with the consciousness that impersonal and international relations are actual facts and not mere phrases.",-0.1027,0.099,0.134,0.767,negative,Twenty Years at Hull House; with Autobiographical Notes
I was filled with pride that I knew a man who held converse with great minds and who really sorrowed and rejoiced over happenings across the sea.,0.7245,0.292,0.11,0.598,positive,Twenty Years at Hull House; with Autobiographical Notes
"I never recall those early conversations with my father, nor a score of others like them, but there comes into my mind a line from Mrs. Browning in which a daughter describes her relations with her father:-- ""He wrapt me in his large Man's doublet, careless did it fit or no.""",0.1901,0.096,0.062,0.842,positive,Twenty Years at Hull House; with Autobiographical Notes
[Editor: Mary Mark Ockerbloom] This chapter has been put on-line as part of the BUILD-A-BOOK Initiative at the Celebration of Women Writers.,0.0,0.0,0.0,1.0,neutral,Twenty Years at Hull House; with Autobiographical Notes
Initial text entry and proof-reading of this chapter were the work of volunteer David Cheezem.,0.0,0.0,0.0,1.0,neutral,Twenty Years at Hull House; with Autobiographical Notes
"[Editor: Mary Mark Ockerbloom] [A Celebration of Women Writers] ""Chapter II: Influence of Lincoln.""",0.0,0.0,0.0,1.0,neutral,Twenty Years at Hull House; with Autobiographical Notes
by Jane Addams (1860-1935) From: Twenty Years at Hull-House with Autobiographical Notes.,0.0,0.0,0.0,1.0,neutral,Twenty Years at Hull House; with Autobiographical Notes
by Jane Addams.,0.0,0.0,0.0,1.0,neutral,Twenty Years at Hull House; with Autobiographical Notes
"New York: The MacMillan Company, 1912 (c.1910) pp.",0.0,0.0,0.0,1.0,neutral,Twenty Years at Hull House; with Autobiographical Notes
23-43.,0.0,0.0,0.0,1.0,neutral,Twenty Years at Hull House; with Autobiographical Notes
[Editor: Mary Mark Ockerbloom] CHAPTER II INFLUENCE OF LINCOLN I suppose all the children who were born about the time of the Civil War have recollections quite unlike those of the children who are living now.,-0.5994,0.0,0.103,0.897,negative,Twenty Years at Hull House; with Autobiographical Notes
"Although I was but four and a half years old when Lincoln died, I distinctly remember the day when I found on our two white gateposts American flags companioned with black.",-0.7096,0.0,0.159,0.841,negative,Twenty Years at Hull House; with Autobiographical Notes
"I tumbled down on the harsh gravel walk in my eager rush into the house to inquire what they were ""there for.""",-0.2263,0.1,0.177,0.723,negative,Twenty Years at Hull House; with Autobiographical Notes
"To my amazement I found my father in tears, something that I had never seen before, having assumed, as all children do, that grown-up people never cried.",0.5837,0.192,0.064,0.744,positive,Twenty Years at Hull House; with Autobiographical Notes
"The two flags, my father's tears, and his impressive statement that the greatest man in the world had died, constituted my initiation, my baptism, as it were, into the thrilling and solemn interests of a world lying quite outside the two white gateposts.",0.5267,0.222,0.18,0.599,positive,Twenty Years at Hull House; with Autobiographical Notes
"The great war touched children in many ways: I remember an engraved roster of names, headed by the words ""Addams' Guard,"" and the whole surmounted by the insignia of the American eagle clutching many flags, which always hung in the family living-room.",0.0516,0.087,0.083,0.83,positive,Twenty Years at Hull House; with Autobiographical Notes
As children we used to read this list of names again and again.,0.0,0.0,0.0,1.0,neutral,Twenty Years at Hull House; with Autobiographical Notes
"We could reach it only by dint of putting the family Bible on a chair and piling the dictionary on top of it; using the Bible to stand on was always accompanied by a little thrill of superstitious awe, although we carefully put the dictionary above that our profane feet might touch it alone.",0.3832,0.119,0.036,0.845,positive,Twenty Years at Hull House; with Autobiographical Notes
"Having brought the roster within reach of our eager fingers,--fortunately it was glazed,--we would pick out the names of those who ""had fallen on the field"" from those who ""had come back from the war,"" and from among the latter those whose children were our schoolmates.",0.0258,0.073,0.051,0.876,neutral,Twenty Years at Hull House; with Autobiographical Notes
"When drives were planned, we would say, ""Let us take this road,"" that we might pass the farm where a soldier had once lived; if flowers from the garden were to be given away, we would want them to go to the mother of one of those heroes whose names we knew from the ""Addams' Guard.""",0.5574,0.08,0.0,0.92,positive,Twenty Years at Hull House; with Autobiographical Notes
"If a guest should become interested in the roster on the wall, he was at once led by the eager children to a small picture of Colonel Davis which hung next the opposite window, that he might see the brave Colonel of the Regiment.",0.8225,0.181,0.0,0.819,positive,Twenty Years at Hull House; with Autobiographical Notes
"The introduction to the picture of the one-armed man seemed to us a very solemn ceremony, and long after the guest was tired of listening, we would tell each other all about the local hero, who at the head of his troops had suffered wounds unto death.",-0.7902,0.064,0.206,0.73,negative,Twenty Years at Hull House; with Autobiographical Notes
We liked very much to talk to a gentle old lady who lived in a white farmhouse a mile north of the village.,0.6908,0.241,0.0,0.759,positive,Twenty Years at Hull House; with Autobiographical Notes
"She was the mother of the village hero, Tommy, and used to tell us of her long anxiety during the spring of '62; how she waited day after day for the hospital to surrender up her son, each morning airing the white homespun sheets and holding the little bedroom in immaculate readiness.",0.5994,0.099,0.03,0.87,positive,Twenty Years at Hull House; with Autobiographical Notes
"It was after the battle of Fort Donelson that Tommy was wounded and had been taken to the hospital at Springfield; his father went down to him and saw him getting worse each week, until it was clear that he was going to die; but there was so much red tape about the department, and affairs were so confused, that his discharge could not be procured.",-0.817,0.025,0.141,0.835,negative,Twenty Years at Hull House; with Autobiographical Notes
"At last the hospital surgeon intimated to his father that he should quietly take him away; a man as sick as that, it would be all right; but when they told Tommy, weak as he was, his eyes flashed, and he said, ""No, sir; I will go out of the front door or I'll die here.""",-0.9072,0.0,0.182,0.818,negative,Twenty Years at Hull House; with Autobiographical Notes
"Of course after that every man in the hospital worked for it, and in two weeks he was honorably discharged.",0.5267,0.152,0.0,0.848,positive,Twenty Years at Hull House; with Autobiographical Notes
"When he came home at last, his mother's heart was broken to see him so wan and changed.",-0.4767,0.0,0.154,0.846,negative,Twenty Years at Hull House; with Autobiographical Notes
"She would tell us of the long quiet days that followed his return, with the windows open so that the dying eyes might look over the orchard slope to the meadow beyond where the younger brothers were mowing the early hay.",0.0,0.0,0.0,1.0,neutral,Twenty Years at Hull House; with Autobiographical Notes
"She told us of those days when his school friends from the Academy flocked in to see him, their old acknowledged leader, and of the burning words of earnest patriotism spoken in the crowded little room, so that in three months the Academy was almost deserted and the new Company who marched away in the autumn took as drummer boy Tommy's third brother, who was only seventeen and too young for a regular.",0.7506,0.084,0.0,0.916,positive,Twenty Years at Hull House; with Autobiographical Notes
"She remembered the still darker days that followed, when the bright drummer boy was in Andersonville prison, and little by little she learned to be reconciled that Tommy was safe in the peaceful home graveyard.",0.5423,0.202,0.124,0.674,positive,Twenty Years at Hull House; with Autobiographical Notes
"However much we were given to talk of war heroes, we always fell silent as we approached an isolated farmhouse in which two old people lived alone.",-0.5994,0.096,0.238,0.667,negative,Twenty Years at Hull House; with Autobiographical Notes
"Five of their sons had enlisted in the Civil War, and only the youngest had returned alive in the spring of 1865.",-0.3182,0.098,0.147,0.755,negative,Twenty Years at Hull House; with Autobiographical Notes
"In the autumn of the same year, when he was hunting for wild ducks in a swamp on the rough little farm itself, he was accidently shot and killed, and the old people were left alone to struggle with the half-cleared land as best they might.",-0.5574,0.078,0.163,0.759,negative,Twenty Years at Hull House; with Autobiographical Notes
"When we were driven past this forlorn little farm our childish voices always dropped into speculative whisperings as to how the accident could have happened to this remaining son out of all the men in the world, to him who had escaped so many chances of death!",-0.775,0.064,0.169,0.768,negative,Twenty Years at Hull House; with Autobiographical Notes
"Our young hearts swelled in first rebellion against that which Walter Pater calls ""the inexplicable shortcoming or misadventure on the part of life itself""; we were overwhelmingly oppressed by that grief of things as they are, so much more mysterious and intolerable than those griefs which we think dimly to trace to man's own wrongdoing.",-0.8074,0.0,0.154,0.846,negative,Twenty Years at Hull House; with Autobiographical Notes
"It was well perhaps that life thus early gave me a hint of one of her most obstinate and insoluble riddles, for I have sorely needed the sense of universality thus imparted to that mysterious injustice, the burden of which we are all forced to bear and with which I have become only too familiar.",-0.8748,0.034,0.198,0.768,negative,Twenty Years at Hull House; with Autobiographical Notes
"My childish admiration for Lincoln is closely associated with a visit made to the war eagle, Old Abe, who, as we children well knew, lived in the state capital of Wisconsin, only sixty-five miles north of our house, really no farther than an eagle could easily fly!",-0.2228,0.141,0.156,0.703,negative,Twenty Years at Hull House; with Autobiographical Notes
"He had been carried by the Eighth Wisconsin Regiment through the entire war, and now dwelt an honored pensioner in the state building itself.",-0.0258,0.128,0.131,0.741,neutral,Twenty Years at Hull House; with Autobiographical Notes
"Many times, standing in the north end of our orchard, which was only twelve miles from that mysterious line which divided Illinois from Wisconsin, we anxiously scanned the deep sky, hoping to see Old Abe fly southward right over our apple trees, for it was clearly possible that he might at any moment escape from his keeper, who, although he had been a soldier and a sentinel, would have to sleep sometimes.",0.6486,0.096,0.025,0.879,positive,Twenty Years at Hull House; with Autobiographical Notes
"We gazed with thrilled interest at one speck after another in the flawless sky, but although Old Abe never came to see us, a much more incredible thing happened, for we were at last taken to see him.",0.6249,0.152,0.0,0.848,positive,Twenty Years at Hull House; with Autobiographical Notes
"We started one golden summer's day, two happy children in the family carriage, with my father and mother and an older sister to whom, because she was just home from boarding school, we confidently appealed whenever we needed information.",0.7783,0.155,0.0,0.845,positive,Twenty Years at Hull House; with Autobiographical Notes
"We were driven northward hour after hour, past harvest fields in which the stubble glinted from bronze to gold and the heavy-headed grain rested luxuriously in rounded shocks, until we reached that beautiful region of hills and lakes which surrounds the capital city of Wisconsin.",0.4019,0.106,0.052,0.842,positive,Twenty Years at Hull House; with Autobiographical Notes
"But although Old Abe, sitting sedately upon his high perch, was sufficiently like an uplifted ensign to remind us of a Roman eagle, and although his veteran keeper, clad in an old army coat, was ready to answer all our questions and to tell us of the thirty-six battles and skirmishes which Old Abe had passed unscathed, the crowning moment of the impressive journey came to me later, illustrating once more that children are as quick to catch the meaning of a symbol as they are unaccountably slow to understand the real world about them.",0.8201,0.106,0.033,0.861,positive,Twenty Years at Hull House; with Autobiographical Notes
"The entire journey to the veteran war eagle had itself symbolized that search for the heroic and perfect which so persistently haunts the young; and as I stood under the great white dome of Old Abe's stately home, for one brief moment the search was rewarded.",0.8563,0.244,0.103,0.652,positive,Twenty Years at Hull House; with Autobiographical Notes
I dimly caught a hint of what men have tried to say in their world-old effort to imprison a space in so divine a line that it shall hold only yearning devotion and high-hearted hopes.,0.8983,0.306,0.0,0.694,positive,Twenty Years at Hull House; with Autobiographical Notes
"Certainly the utmost rim of my first dome was filled with the tumultuous impression of soldiers marching to death for freedom's sake, of pioneers streaming westward to establish self-government in yet another sovereign state.",-0.1531,0.11,0.099,0.791,negative,Twenty Years at Hull House; with Autobiographical Notes
"Only the great dome of St. Peter's itself has ever clutched my heart as did that modest curve which had sequestered from infinitude in a place small enough for my child's mind, the courage and endurance which I could not comprehend so long as it was lost in ""the void of unresponsible space"" under the vaulting sky itself.",0.7184,0.117,0.037,0.847,positive,Twenty Years at Hull House; with Autobiographical Notes
But through all my vivid sensations there persisted the image of the eagle in the corridor below and Lincoln himself as an epitome of all that was great and good.,0.8885,0.253,0.0,0.747,positive,Twenty Years at Hull House; with Autobiographical Notes
"I dimly caught the notion of the martyred President as the standard bearer to the conscience of his countrymen, as the eagle had been the ensign of courage to the soldiers of the Wisconsin regiment.",0.4939,0.088,0.0,0.912,positive,Twenty Years at Hull House; with Autobiographical Notes
"Thirty-five years later, as I stood on the hill campus of the University of Wisconsin with a commanding view of the capitol building a mile directly across the city, I saw again the dome which had so uplifted my childish spirit.",-0.1935,0.043,0.063,0.894,negative,Twenty Years at Hull House; with Autobiographical Notes
"The University, which was celebrating it's fiftieth anniversary, had honored me with a doctor's degree, and in the midst of the academic pomp and the rejoicing, the dome again appeared to me as a fitting symbol of the state's aspiration even in its high mission of universal education.",0.9062,0.208,0.0,0.792,positive,Twenty Years at Hull House; with Autobiographical Notes
"Thousands of children in the sixties and seventies, in the simplicity which is given to the understanding of a child, caught a notion of imperishable heroism when they were told that brave men had lost their lives that the slaves might be free.",0.8481,0.211,0.046,0.743,positive,Twenty Years at Hull House; with Autobiographical Notes
"At any moment the conversation of our elders might turn upon these heroic events; there were red-letter days, when a certain general came to see my father, and again when Governor Oglesby, whom all Illinois children called ""Uncle Dick,"" spent a Sunday under the pine trees in our front yard.",0.6908,0.11,0.0,0.89,positive,Twenty Years at Hull House; with Autobiographical Notes
We felt on those days a connection with the great world so much more heroic than the village world which surrounded us through all the other days.,0.8503,0.256,0.0,0.744,positive,Twenty Years at Hull House; with Autobiographical Notes
"My father was a member of the state senate for the sixteen years between 1854 and 1870, and even as a little child I was dimly conscious of the grave march of public affairs in his comings and goings at the state capital.",-0.3818,0.0,0.062,0.938,negative,Twenty Years at Hull House; with Autobiographical Notes
"He was much too occupied to allow time for reminiscence, but I remember overhearing a conversation between a visitor and himself concerning the stirring days before the war, when it was by no means certain that the Union men in the legislature would always have enough votes to keep Illinois from seceding.",-0.7227,0.072,0.142,0.786,negative,Twenty Years at Hull House; with Autobiographical Notes
"I heard with breathless interest my father's account of the trip a majority of the legislators had made one dark day to St. Louis, that there might not be enough men for a quorum, and so no vote could be taken on the momentous question until the Union men could rally their forces.",0.0345,0.056,0.053,0.891,neutral,Twenty Years at Hull House; with Autobiographical Notes
"My father always spoke of the martyred President as Mr. Lincoln, and I never heard the great name without a thrill.",-0.6602,0.0,0.241,0.759,negative,Twenty Years at Hull House; with Autobiographical Notes
"I remember the day--it must have been one of comparative leisure, perhaps a Sunday--when at my request my father took out of his desk a thin packet marked ""Mr. Lincoln's Letters,"" the shortest one of which bore unmistakable traces of that remarkable personality.",0.3818,0.083,0.046,0.872,positive,Twenty Years at Hull House; with Autobiographical Notes
"These letters began, ""My dear Double-D'ed Addams,"" and to the inquiry as to how the person thus addressed was about to vote on a certain measure then before the legislature, was added the assurance that he knew that this Addams ""would vote according to his conscience,"" but he begged to know in which direction the same conscience ""was pointing.""",0.4678,0.084,0.0,0.916,positive,Twenty Years at Hull House; with Autobiographical Notes
"As my father folded up the bits of paper I fairly held my breath in my desire that he should go on with the reminiscence of this wonderful man, whom he had known in his comparative obscurity, or better still, that he should be moved to tell some of the exciting incidents of the Lincoln-Douglas debates.",0.9213,0.205,0.0,0.795,positive,Twenty Years at Hull House; with Autobiographical Notes
"There were at least two pictures of Lincoln that always hung in my father's room, and one in our old-fashioned upstairs parlor, of Lincoln with little Tad.",0.0,0.0,0.0,1.0,neutral,Twenty Years at Hull House; with Autobiographical Notes
For one or all of these reasons I always tend to associate Lincoln with the tenderest thoughts of my father.,0.34,0.118,0.0,0.882,positive,Twenty Years at Hull House; with Autobiographical Notes
"I recall a time of great perplexity in the summer of 1894, when Chicago was filled with federal troops sent there by the President of the United States, and their presence was resented by the governor of the state, that I walked the wearisome way from Hull-House to Lincoln Park--for no cars were running regularly at that moment of sympathetic strikes--in order to look at",0.7506,0.142,0.067,0.792,positive,Twenty Years at Hull House; with Autobiographical Notes
